Current_System_Action,User_Reaction,Next_System_Action,Votes,Total_Votes,Agreement_Percentage
acknowledge,opens_up,offer_support,190,588,32.3
acknowledge,rejects_help,slow_down,201,588,34.2
acknowledge,stays_negative,offer_support,150,588,25.5
ask_clarification,opens_up,encourage,35,140,25.0
ask_clarification,rejects_help,suggest_pause,58,140,41.4
ask_clarification,stays_negative,slow_down,36,140,25.7
continue,opens_up,encourage,7,22,31.8
continue,rejects_help,slow_down,5,22,22.7
continue,stays_negative,offer_support,9,22,40.9
de_escalate,opens_up,offer_support,32,76,42.1
de_escalate,rejects_help,suggest_pause,39,76,51.3
de_escalate,stays_negative,slow_down,28,76,36.8
encourage,opens_up,continue,18,36,50.0
encourage,rejects_help,slow_down,9,36,25.0
encourage,stays_negative,offer_support,10,36,27.8
offer_support,opens_up,ask_clarification,11,24,45.8
offer_support,rejects_help,suggest_pause,7,24,29.2
offer_support,stays_negative,de_escalate,5,24,20.8
slow_down,opens_up,ask_clarification,14,38,36.8
slow_down,rejects_help,suggest_pause,19,38,50.0
slow_down,stays_negative,de_escalate,12,38,31.6
suggest_pause,opens_up,acknowledge,1,4,25.0
suggest_pause,rejects_help,continue,2,4,50.0
suggest_pause,stays_negative,de_escalate,1,4,25.0
